used,"x, 2theta (deg)",obs,calc,bkg,diff,diff/sigma,Axis-limits
1,67.67,14486.7,15106.267648226218,14934.679325764135,-3241.827648,-5.147590598, 
1,67.68,14756.7,15096.521286885052,14934.39363549751,-2962.081287,-2.797408925, 
1,67.69,15066.7,15087.59752995039,14934.107345775263,-2643.15753,-0.170249516, 
1,67.7,14936.7,15079.39403,14933.820457826168,-2764.954027,-1.167558006, 
1,67.71,15276.7,15071.826209444509,14933.532972891571,-2417.386209,1.657569044990068, 
1,67.72,15210,15064.823275806808,14933.244892225379,-2477.083276,1.1771515684424552, 
1,67.73,14710,15058.32520399476,14932.956217094095,-2970.585204,-2.87196117, 
1,67.74,14900,15052.281793008724,14932.66694877683,-2774.541793,-1.247541057, 
1,67.75,15043.3,15046.646035211204,14932.37708856529,-2625.606035,-0.027280916, 
1,67.76,14833.3,15041.380300621484,14932.08663776382,-2830.340301,-1.708488565, 
1,67.77,15046.7,15036.450447219973,14931.795597689399,-2612.010447,0.083557278, 
1,67.78,14766.7,15031.826312650883,14931.503969671665,-2887.386313,-2.181780751, 
1,67.79,14890,15027.481112726611,14931.211755052916,-2759.741113,-1.1266673, 
1,67.8,14690,15023.390971462342,14930.918955188128,-2955.650971,-2.750698158, 
1,67.81,14493.3,15019.534559253534,14930.625571444963,-3148.494559,-4.371150152, 
1,67.82,14740,15015.892760169172,14930.331605203799,-2898.15276,-2.272435485, 
1,67.83,15033.3,15012.448364145925,14930.037057857706,-2601.408364,0.17006422717578978, 
1,67.84,14573.3,15009.18587862488,14929.741930812503,-3058.145879,-3.610720293, 
1,67.85,14980,15006.091336279074,14929.446225486729,-2648.351336,-0.213177034, 
1,67.86,14983.3,15003.152055308503,14929.149943311684,-2642.112055,-0.162181659, 
1,67.87,15110,15000.356555510956,14928.85308573143,-2512.616556,0.891970392, 
1,67.88,14876.7,14997.69441203374,14928.555654202797,-2743.254412,-0.992000774, 
1,67.89,14833.3,14995.156119065843,14928.257650195408,-2784.116119,-1.328954869, 
1,67.9,14706.7,14992.733029167786,14927.959075191668,-2908.293029,-2.358623215, 
1,67.91,14736.7,14990.417219927844,14927.65993068681,-2875.97722,-2.09001702, 
